capture_id,pcap_file,pcap_path,status,packet_count,flow_count,tshark_packet_count,validation_status,validation_errors,error_message
exp_011_voip_tunnel_3des_cbc_1789042789,exp_011_voip_tunnel_3des_cbc_1789042789.pcapng,raw_pcapng/exp_011_voip_tunnel_3des_cbc_1789042789.pcapng,SUCCESS,370,2,370,PASSED,,
exp_012_voip_transport_3des_cbc_1789042832,exp_012_voip_transport_3des_cbc_1789042832.pcapng,raw_pcapng/exp_012_voip_transport_3des_cbc_1789042832.pcapng,SUCCESS,363,2,363,PASSED,,
exp_013_voip_tunnel_aes_gcm_16_256_1789042875,exp_013_voip_tunnel_aes_gcm_16_256_1789042875.pcapng,raw_pcapng/exp_013_voip_tunnel_aes_gcm_16_256_1789042875.pcapng,SUCCESS,380,3,380,PASSED,,
exp_014_voip_transport_aes_gcm_16_128_1789042918,exp_014_voip_transport_aes_gcm_16_128_1789042918.pcapng,raw_pcapng/exp_014_voip_transport_aes_gcm_16_128_1789042918.pcapng,SUCCESS,307,3,307,PASSED,,
exp_015_voip_tunnel_aes_cbc_256_1789042961,exp_015_voip_tunnel_aes_cbc_256_1789042961.pcapng,raw_pcapng/exp_015_voip_tunnel_aes_cbc_256_1789042961.pcapng,SUCCESS,412,4,412,PASSED,,
exp_016_video_tunnel_aes_gcm_16_256_1789043005,exp_016_video_tunnel_aes_gcm_16_256_1789043005.pcapng,raw_pcapng/exp_016_video_tunnel_aes_gcm_16_256_1789043005.pcapng,SUCCESS,715,2,715,PASSED,,
exp_017_video_transport_aes_gcm_16_128_1789043048,exp_017_video_transport_aes_gcm_16_128_1789043048.pcapng,raw_pcapng/exp_017_video_transport_aes_gcm_16_128_1789043048.pcapng,SUCCESS,717,3,717,PASSED,,
exp_018_video_tunnel_aes_cbc_256_1789043091,exp_018_video_tunnel_aes_cbc_256_1789043091.pcapng,raw_pcapng/exp_018_video_tunnel_aes_cbc_256_1789043091.pcapng,SUCCESS,639,4,639,PASSED,,
exp_019_video_transport_aes_cbc_128_1789043137,exp_019_video_transport_aes_cbc_128_1789043137.pcapng,raw_pcapng/exp_019_video_transport_aes_cbc_128_1789043137.pcapng,SUCCESS,751,3,751,PASSED,,
exp_020_video_tunnel_3des_cbc_1789043180,exp_020_video_tunnel_3des_cbc_1789043180.pcapng,raw_pcapng/exp_020_video_tunnel_3des_cbc_1789043180.pcapng,SUCCESS,812,3,812,PASSED,,
exp_021_video_transport_3des_cbc_1789043225,exp_021_video_transport_3des_cbc_1789043225.pcapng,raw_pcapng/exp_021_video_transport_3des_cbc_1789043225.pcapng,SUCCESS,607,1,607,PASSED,,
exp_022_video_tunnel_aes_gcm_16_256_1789043267,exp_022_video_tunnel_aes_gcm_16_256_1789043267.pcapng,raw_pcapng/exp_022_video_tunnel_aes_gcm_16_256_1789043267.pcapng,SUCCESS,762,4,762,PASSED,,
exp_023_video_transport_aes_gcm_16_128_1789043310,exp_023_video_transport_aes_gcm_16_128_1789043310.pcapng,raw_pcapng/exp_023_video_transport_aes_gcm_16_128_1789043310.pcapng,SUCCESS,613,3,613,PASSED,,
exp_024_video_tunnel_aes_cbc_256_1789043352,exp_024_video_tunnel_aes_cbc_256_1789043352.pcapng,raw_pcapng/exp_024_video_tunnel_aes_cbc_256_1789043352.pcapng,SUCCESS,707,3,707,PASSED,,
